1,10/19,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,3,3,3,3,3,,
2,10/26,4,3,4,4,3,4,3,3,3,4,4,4,3,4,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,,
3,11/2,4,4,4,3,3,4,4,3,3,3,3,3,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,,
4,11/9,3,2,3,3,3,4,4,3,3,3,4,4,3,3,4,3,4,2,4,4,4,3,3,4,3,3,4,4,4,4,,
5,11/16,3,3,4,2,4,3,3,4,4,4,3,3,3,3,4,3,3,4,4,4,3,4,3,3,4,3,3,3,4,4,,
6,11/23,2,4,3,3,3,3,2,3,3,3,3,3,4,3,4,3,4,4,3,3,3,3,4,4,4,3,4,3,3,2,,
7,11/30,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,
8,12/7,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
9,12/14,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,3,4,3,3,4,2,4,3,3,4,4,4,4,,
10,12/21,3,4,2,4,3,3,3,4,4,4,2,4,4,4,4,4,3,4,3,4,4,4,4,3,4,3,4,3,3,4,,
11,12/28,3,3,4,4,3,4,3,4,3,3,4,3,4,4,2,3,4,4,4,3,4,4,3,4,2,4,4,4,3,3,,
12,1/4,4,4,3,4,5,3,4,3,4,3,3,4,3,3,4,4,3,3,4,3,3,4,4,4,4,4,3,4,4,3,,
13,1/11,3,4,3,3,3,4,3,5,3,4,4,4,3,4,3,4,4,3,2,4,3,4,3,2,4,4,2,4,4,4,,
14,1/18,4,3,4,3,3,3,4,3,3,4,4,3,4,4,3,3,3,4,2,4,4,3,4,4,4,3,3,3,4,4,,
15,1/25,3,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,3,4,4,3,4,4,4,4,3,4,3,4,3,3,,
16,2/1,4,3,4,4,3,4,4,4,4,4,3,3,4,3,3,4,3,4,4,4,4,3,4,3,3,3,4,4,4,3,,
17,2/8,4,4,4,3,4,4,3,4,3,3,4,4,4,3,3,4,4,2,4,3,3,4,3,4,5,4,3,3,2,4,,
18,2/15,2,1,2,2,2,2,2,1,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,,
19,2/22,3,2,2,3,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,,
20,3/1,3,4,3,2,4,3,2,3,3,4,4,3,3,4,3,3,3,3,4,3,3,3,4,3,4,3,3,3,4,4,,
21,3/8,4,3,4,4,3,4,4,4,4,4,3,3,4,3,4,4,3,4,4,3,4,3,3,4,3,4,3,3,3,3,,
22,3/15,4,4,3,3,3,3,4,4,3,3,3,4,3,4,4,3,3,2,4,3,3,4,4,4,4,4,4,4,3,3,,
23,3/22,3,3,4,4,4,2,4,3,4,4,4,3,4,3,4,3,4,4,3,4,4,4,4,4,3,3,3,4,4,4,,
24,3/29,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,2,4,3,3,3,4,4,4,4,3,3,3,,
25,4/5,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,,
,,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOR,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,UTA,WAS
